dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
dataset1,2,4,400,LogisticRegression,9,0,1.0,0.06977415084838867
dataset1,2,4,400,LogisticRegression,9,1,1.0,0.07143330574035645
dataset1,2,4,400,LogisticRegression,9,2,1.0,0.039620161056518555
dataset1,2,4,400,LogisticRegression,9,3,1.0,0.04134511947631836
dataset1,2,4,400,LogisticRegression,9,4,1.0,0.026730060577392578
dataset1,2,4,400,LogisticRegression,9,5,1.0,0.034328460693359375
dataset1,2,4,400,LogisticRegression,9,6,1.0,0.02402806282043457
dataset1,2,4,400,LogisticRegression,9,7,1.0,0.025685548782348633
dataset1,2,4,400,LogisticRegression,9,8,1.0,0.03157448768615723
dataset1,2,4,400,LogisticRegression,9,9,1.0,0.02765941619873047
dataset1,2,4,400,KNN,0,0,0.975,0.008996963500976562
dataset1,2,4,400,KNN,0,1,1.0,0.0020020008087158203
dataset1,2,4,400,KNN,0,2,0.95,0.002004384994506836
dataset1,2,4,400,KNN,0,3,1.0,0.0
dataset1,2,4,400,KNN,0,4,0.975,0.0020194053649902344
dataset1,2,4,400,KNN,0,5,0.975,0.0020236968994140625
dataset1,2,4,400,KNN,0,6,0.975,0.0020189285278320312
dataset1,2,4,400,KNN,0,7,0.975,0.002014636993408203
dataset1,2,4,400,KNN,0,8,0.95,0.0020148754119873047
dataset1,2,4,400,KNN,0,9,0.875,0.002019166946411133
dataset1,2,4,400,KNN,1,0,0.925,0.0020225048065185547
dataset1,2,4,400,KNN,1,1,0.95,0.0020139217376708984
dataset1,2,4,400,KNN,1,2,0.975,0.0020139217376708984
dataset1,2,4,400,KNN,1,3,0.95,0.002012014389038086
dataset1,2,4,400,KNN,1,4,0.925,0.002012491226196289
dataset1,2,4,400,KNN,1,5,1.0,0.002011537551879883
dataset1,2,4,400,KNN,1,6,1.0,0.002012014389038086
dataset1,2,4,400,KNN,1,7,0.975,0.0017588138580322266
dataset1,2,4,400,KNN,1,8,1.0,0.0
dataset1,2,4,400,KNN,1,9,0.925,0.0020151138305664062
dataset1,2,4,400,KNN,2,0,0.975,0.0017702579498291016
dataset1,2,4,400,KNN,2,1,1.0,0.0
dataset1,2,4,400,KNN,2,2,0.975,0.0020275115966796875
dataset1,2,4,400,KNN,2,3,1.0,0.0017631053924560547
dataset1,2,4,400,KNN,2,4,0.975,0.002020597457885742
dataset1,2,4,400,KNN,2,5,0.95,0.002021312713623047
dataset1,2,4,400,KNN,2,6,0.875,0.003784656524658203
dataset1,2,4,400,KNN,2,7,1.0,0.0020227432250976562
dataset1,2,4,400,KNN,2,8,0.95,0.002014636993408203
dataset1,2,4,400,KNN,2,9,0.975,0.0037832260131835938
dataset1,2,4,400,KNN,3,0,0.925,0.005128383636474609
dataset1,2,4,400,KNN,3,1,1.0,0.0010004043579101562
dataset1,2,4,400,KNN,3,2,0.95,0.0010004043579101562
dataset1,2,4,400,KNN,3,3,0.95,0.0010006427764892578
dataset1,2,4,400,KNN,3,4,0.975,0.002004861831665039
dataset1,2,4,400,KNN,3,5,0.95,0.0027570724487304688
dataset1,2,4,400,KNN,3,6,1.0,0.0070378780364990234
dataset1,2,4,400,KNN,3,7,0.975,0.004396677017211914
dataset1,2,4,400,KNN,3,8,0.95,0.0009987354278564453
dataset1,2,4,400,KNN,3,9,0.95,0.0019989013671875
dataset1,2,4,400,KNN,4,0,0.95,0.0017616748809814453
dataset1,2,4,400,KNN,4,1,0.95,0.002000093460083008
dataset1,2,4,400,KNN,4,2,0.95,0.0019986629486083984
dataset1,2,4,400,KNN,4,3,0.975,0.001997709274291992
dataset1,2,4,400,KNN,4,4,0.95,0.0020132064819335938
dataset1,2,4,400,KNN,4,5,1.0,0.0020160675048828125
dataset1,2,4,400,KNN,4,6,0.925,0.0020232200622558594
dataset1,2,4,400,KNN,4,7,0.975,0.0020165443420410156
dataset1,2,4,400,KNN,4,8,1.0,0.0020189285278320312
dataset1,2,4,400,KNN,4,9,0.975,0.0020241737365722656
dataset1,2,4,400,KNN,5,0,0.95,0.0020117759704589844
dataset1,2,4,400,KNN,5,1,0.95,0.00201416015625
dataset1,2,4,400,KNN,5,2,1.0,0.0020182132720947266
dataset1,2,4,400,KNN,5,3,1.0,0.0010018348693847656
dataset1,2,4,400,KNN,5,4,0.975,0.002015352249145508
dataset1,2,4,400,KNN,5,5,1.0,0.0033295154571533203
dataset1,2,4,400,KNN,5,6,0.975,0.0010061264038085938
dataset1,2,4,400,KNN,5,7,0.975,0.002001523971557617
dataset1,2,4,400,KNN,5,8,0.925,0.0027701854705810547
dataset1,2,4,400,KNN,5,9,0.95,0.002004384994506836
dataset1,2,4,400,KNN,6,0,0.95,0.001004934310913086
dataset1,2,4,400,KNN,6,1,0.875,0.0020666122436523438
dataset1,2,4,400,KNN,6,2,1.0,0.00201416015625
dataset1,2,4,400,KNN,6,3,0.95,0.0020189285278320312
