Unnamed: 0,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
8,dataset2,2,2.000000,700,sdsa_svc,9,8,0.957143,0.129945
9,dataset2,2,2.000000,700,sdsa_svc,9,9,0.942857,0.160236
0,dataset3,2,3.000000,700,sdsa_svc,6,0,0.971429,0.376758
1,dataset3,2,3.000000,700,sdsa_svc,6,1,0.942857,0.316824
2,dataset3,2,3.000000,700,sdsa_svc,6,2,0.942857,0.294607
3,dataset3,2,3.000000,700,sdsa_svc,6,3,0.942857,0.278704
4,dataset3,2,3.000000,700,sdsa_svc,6,4,0.942857,0.299988
5,dataset3,2,3.000000,700,sdsa_svc,6,5,0.957143,0.300031
6,dataset3,2,3.000000,700,sdsa_svc,6,6,0.928571,0.270478
7,dataset3,2,3.000000,700,sdsa_svc,6,7,0.928571,0.312362
8,dataset3,2,3.000000,700,sdsa_svc,6,8,0.928571,0.174835
9,dataset3,2,3.000000,700,sdsa_svc,6,9,0.971429,0.153041
0,dataset3,2,3.000000,700,sdsa_svc,9,0,0.942857,0.295831
1,dataset3,2,3.000000,700,sdsa_svc,9,1,0.900000,0.195534
2,dataset3,2,3.000000,700,sdsa_svc,9,2,0.957143,0.158181
3,dataset3,2,3.000000,700,sdsa_svc,9,3,0.985714,0.144651
4,dataset3,2,3.000000,700,sdsa_svc,9,4,0.914286,0.149893
5,dataset3,2,3.000000,700,sdsa_svc,9,5,0.914286,0.159007
6,dataset3,2,3.000000,700,sdsa_svc,9,6,0.971429,0.132175
7,dataset3,2,3.000000,700,sdsa_svc,9,7,0.942857,0.140441
8,dataset3,2,3.000000,700,sdsa_svc,9,8,0.957143,0.139950
9,dataset3,2,3.000000,700,sdsa_svc,9,9,0.942857,0.128380
0,dataset2,2,2.000000,700,sdsa_svc,5,0,0.985714,0.324027
1,dataset2,2,2.000000,700,sdsa_svc,5,1,0.985714,0.357913
2,dataset2,2,2.000000,700,sdsa_svc,5,2,0.957143,0.310290
3,dataset2,2,2.000000,700,sdsa_svc,5,3,0.900000,0.312411
4,dataset2,2,2.000000,700,sdsa_svc,5,4,0.942857,0.313943
5,dataset2,2,2.000000,700,sdsa_svc,5,5,0.928571,0.330129
6,dataset2,2,2.000000,700,sdsa_svc,5,6,0.957143,0.285212
7,dataset2,2,2.000000,700,sdsa_svc,5,7,0.928571,0.314840
8,dataset2,2,2.000000,700,sdsa_svc,5,8,0.871429,0.308789
9,dataset2,2,2.000000,700,sdsa_svc,5,9,0.957143,0.304922
0,climates,10,16.000000,1415,sdsa_svc,7,0,0.612676,2.505568
1,climates,10,16.000000,1415,sdsa_svc,7,1,0.676056,3.474008
2,climates,10,16.000000,1415,sdsa_svc,7,2,0.647887,3.306710
3,climates,10,16.000000,1415,sdsa_svc,7,3,0.633803,4.456984
4,climates,10,16.000000,1415,sdsa_svc,7,4,0.661972,3.123594
5,climates,10,16.000000,1415,sdsa_svc,7,5,0.652482,2.303951
6,climates,10,16.000000,1415,sdsa_svc,7,6,0.751773,3.404616
7,climates,10,16.000000,1415,sdsa_svc,7,7,0.652482,3.758147
8,climates,10,16.000000,1415,sdsa_svc,7,8,0.659574,3.713999
9,climates,10,16.000000,1415,sdsa_svc,7,9,0.645390,3.901022
0,dataset3,2,3.000000,700,sdsa_svc,3,0,0.971429,0.414514
1,dataset3,2,3.000000,700,sdsa_svc,3,1,0.900000,0.369587
2,dataset3,2,3.000000,700,sdsa_svc,3,2,0.957143,0.385086
